D00049	hsa338442	Interactive	1.0
D00059	hsa1812	Interactive	1.0
D00059	hsa1813	Interactive	1.0
D00079	hsa5739	Interactive	1.0
D00094	hsa9052	Interactive	1.0
D00095	hsa148	Interactive	1.0
D00095	hsa153	Interactive	1.0
D00095	hsa154	Interactive	1.0
D00106	hsa64805	Interactive	1.0
D00110	hsa1812	Interactive	1.0
D00110	hsa1814	Interactive	1.0
D00110	hsa4986	Interactive	1.0
D00113	hsa1128	Interactive	1.0
D00113	hsa1129	Interactive	1.0
D00113	hsa1131	Interactive	1.0
D00113	hsa1132	Interactive	1.0
D00113	hsa1133	Interactive	1.0
D00136	hsa150	Interactive	1.0
D00136	hsa151	Interactive	1.0
D00136	hsa1813	Interactive	1.0
D00136	hsa1814	Interactive	1.0
D00139	hsa3577	Interactive	1.0
D00180	hsa5731	Interactive	1.0
D00180	hsa5732	Interactive	1.0
D00180	hsa5739	Interactive	1.0
D00225	hsa3577	Interactive	1.0
D00227	hsa134	Interactive	1.0
D00227	hsa135	Interactive	1.0
D00227	hsa140	Interactive	1.0
D00232	hsa1128	Interactive	1.0
D00232	hsa1129	Interactive	1.0
D00232	hsa1131	Interactive	1.0
D00234	hsa11255	Interactive	1.0
D00234	hsa3269	Interactive	1.0
D00234	hsa59340	Interactive	1.0
D00235	hsa153	Interactive	1.0
D00235	hsa154	Interactive	1.0
D00241	hsa2550	Interactive	1.0
D00255	hsa146	Interactive	1.0
D00255	hsa147	Interactive	1.0
D00255	hsa148	Interactive	1.0
D00255	hsa150	Interactive	1.0
D00255	hsa151	Interactive	1.0
D00255	hsa153	Interactive	1.0
D00255	hsa154	Interactive	1.0
D00255	hsa155	Interactive	1.0
D00270	hsa150	Interactive	1.0
D00270	hsa151	Interactive	1.0
D00270	hsa1812	Interactive	1.0
D00270	hsa1813	Interactive	1.0
D00270	hsa1814	Interactive	1.0
D00270	hsa1816	Interactive	1.0
D00270	hsa3356	Interactive	1.0
D00274	hsa1128	Interactive	1.0
D00274	hsa1129	Interactive	1.0
D00274	hsa3360	Interactive	1.0
D00281	hsa146	Interactive	1.0
D00281	hsa147	Interactive	1.0
D00281	hsa148	Interactive	1.0
D00281	hsa150	Interactive	1.0
D00281	hsa151	Interactive	1.0
D00281	hsa152	Interactive	1.0
D00283	hsa1128	Interactive	1.0
D00283	hsa1129	Interactive	1.0
D00283	hsa146	Interactive	1.0
D00283	hsa147	Interactive	1.0
D00283	hsa148	Interactive	1.0
D00283	hsa150	Interactive	1.0
D00283	hsa151	Interactive	1.0
D00283	hsa1812	Interactive	1.0
D00283	hsa1813	Interactive	1.0
D00283	hsa1815	Interactive	1.0
D00283	hsa1816	Interactive	1.0
D00283	hsa3269	Interactive	1.0
D00283	hsa3350	Interactive	1.0
D00283	hsa3351	Interactive	1.0
D00283	hsa3352	Interactive	1.0
D00283	hsa3354	Interactive	1.0
D00283	hsa3355	Interactive	1.0
D00283	hsa3356	Interactive	1.0
D00283	hsa3357	Interactive	1.0
D00283	hsa3358	Interactive	1.0
D00283	hsa3360	Interactive	1.0
D00283	hsa3361	Interactive	1.0
D00283	hsa3362	Interactive	1.0
D00283	hsa3363	Interactive	1.0
D00283	hsa59340	Interactive	1.0
D00295	hsa3274	Interactive	1.0
D00300	hsa11255	Interactive	1.0
D00300	hsa3269	Interactive	1.0
D00300	hsa59340	Interactive	1.0
D00301	hsa4988	Interactive	1.0
D00306	hsa1268	Interactive	1.0
D00318	hsa11255	Interactive	1.0
D00318	hsa3274	Interactive	1.0
D00318	hsa59340	Interactive	1.0
D00332	hsa134	Interactive	1.0
D00332	hsa150	Interactive	1.0
D00336	hsa6915	Interactive	1.0
D00356	hsa5737	Interactive	1.0
D00364	hsa3269	Interactive	1.0
D00371	hsa136	Interactive	1.0
D00380	hsa3577	Interactive	1.0
D00394	hsa3577	Interactive	1.0
D00397	hsa1128	Interactive	1.0
D00397	hsa1129	Interactive	1.0
D00397	hsa1132	Interactive	1.0
D00400	hsa185	Interactive	1.0
D00410	hsa3577	Interactive	1.0
D00411	hsa10800	Interactive	1.0
D00411	hsa1241	Interactive	1.0
D00411	hsa56413	Interactive	1.0
D00411	hsa57105	Interactive	1.0
D00415	hsa3351	Interactive	1.0
D00415	hsa3352	Interactive	1.0
D00419	hsa5732	Interactive	1.0
D00419	hsa5733	Interactive	1.0
D00422	hsa3274	Interactive	1.0
D00426	hsa146	Interactive	1.0
D00426	hsa147	Interactive	1.0
D00426	hsa148	Interactive	1.0
D00426	hsa3356	Interactive	1.0
D00432	hsa153	Interactive	1.0
D00432	hsa154	Interactive	1.0
D00432	hsa155	Interactive	1.0
D00437	hsa146	Interactive	1.0
D00437	hsa147	Interactive	1.0
D00437	hsa148	Interactive	1.0
D00437	hsa150	Interactive	1.0
D00437	hsa151	Interactive	1.0
D00437	hsa153	Interactive	1.0
D00437	hsa154	Interactive	1.0
D00437	hsa155	Interactive	1.0
D00437	hsa3577	Interactive	1.0
D00440	hsa3274	Interactive	1.0
D00442	hsa6751	Interactive	1.0
D00442	hsa6752	Interactive	1.0
D00443	hsa185	Interactive	1.0
D00451	hsa3350	Interactive	1.0
D00451	hsa3351	Interactive	1.0
D00451	hsa3352	Interactive	1.0
D00451	hsa3354	Interactive	1.0
D00451	hsa3355	Interactive	1.0
D00451	hsa3356	Interactive	1.0
D00451	hsa3357	Interactive	1.0
D00451	hsa3358	Interactive	1.0
D00451	hsa3360	Interactive	1.0
D00451	hsa3361	Interactive	1.0
D00451	hsa3362	Interactive	1.0
D00454	hsa1128	Interactive	1.0
D00454	hsa1129	Interactive	1.0
D00454	hsa1131	Interactive	1.0
D00454	hsa1132	Interactive	1.0
D00454	hsa1133	Interactive	1.0
D00454	hsa146	Interactive	1.0
D00454	hsa147	Interactive	1.0
D00454	hsa148	Interactive	1.0
D00454	hsa150	Interactive	1.0
D00454	hsa151	Interactive	1.0
D00454	hsa153	Interactive	1.0
D00454	hsa154	Interactive	1.0
D00454	hsa155	Interactive	1.0
D00454	hsa1812	Interactive	1.0
D00454	hsa1813	Interactive	1.0
D00454	hsa1814	Interactive	1.0
D00454	hsa1815	Interactive	1.0
D00454	hsa1816	Interactive	1.0
D00454	hsa3269	Interactive	1.0
D00454	hsa3356	Interactive	1.0
D00454	hsa3358	Interactive	1.0
